id,name,brand,street,place,lat,lng,city_search
005056ba-7cb6-1ed2-bceb-a0831c5a0d3e,star Tankstelle,STAR,Mülheimer Straße,Oberhausen,51.4697,6.86383,Essen
d35ba61d-223a-4e72-adf3-b75a3680264b,Aral Tankstelle,ARAL,Mülheimer Straße,Oberhausen,51.47276,6.863527,Essen
51d4b42f-a095-1aa0-e100-80009459e03a,JET OBERHAUSEN BUSCHHAUSENER STR. 9,JET,BUSCHHAUSENER STR.,OBERHAUSEN,51.47785,6.85169,Essen
cdc816f0-7e1d-4749-b29b-333636c91df0,Aral Tankstelle,ARAL,Mülheimer Straße,Oberhausen,51.466988,6.864604,Essen
c3c64020-aea0-4e2c-8325-4520e35cf3aa,Aral Tankstelle,ARAL,Bebelstraße,Oberhausen,51.471523,6.83761,Oberhausen
c8092a8d-dba4-449e-a04f-64e3948f469f,Shell Oberhausen Duisburger Str. 131,Shell,Duisburger Str.,Oberhausen,51.480689,6.847908,Essen
bd17c99d-decc-4ca8-a818-7513861c96a3,Oberhausen,OIL!,Duisburger Straße 374,Oberhausen,51.474,6.83232,Oberhausen
8f737966-0195-47f0-b454-ad8e0285e0cb,TotalEnergies Oberhausen,TotalEnergies,Ruhrorter Str.,Oberhausen,51.477426,6.830007,Oberhausen
bd63a345-7ddd-4f2b-a50b-88bb02650428,KHG Tankstelle Mülheim,,Heidestraße,Mülheim an der Ruhr,51.452183,6.849996,Essen
f73fc6a0-9b17-48a8-8b9a-15489fc952ff,Shell Mülheim Oberhausener Str. 132-136,Shell,Oberhausener Str.,Mülheim,51.449339,6.861028,Essen
51d4b54b-a095-1aa0-e100-80009459e03a,JET MUELHEIM MANNESMANN  ALLEE 21,JET,MANNESMANN  ALLEE,MUELHEIM,51.45674,6.88016,Essen
005056ba-7cb6-1ed2-bceb-a6034455cd41,star Tankstelle,STAR,Falkensteinstraße,Oberhausen,51.475935,6.885642,Essen
18d8e371-2100-47cb-a488-5f903a4fd42b,Aral Tankstelle,ARAL,Steinkampstraße,Mülheim an der Ruhr,51.447487,6.845953,Essen
77c8895e-fb7d-44c1-9979-3794e337dc20,Shell Oberhausen Centroallee 278,Shell,Centroallee,Oberhausen,51.48733,6.8762,Essen
51d4b4b1-a095-1aa0-e100-80009459e03a,Supermarkt-Tankstelle DUISBURG BERLINER STR. 90,Supermarkt-Tankstelle,BERLINER STR.,DUISBURG,51.48012,6.80954,Oberhausen
2259649f-5c12-4ea0-98bb-69423abe9ebd,Shell Oberhausen Centroallee 262,Shell,Centroallee,Oberhausen,51.48935,6.884003,Essen
98d2fba9-f182-40a8-bfb1-7de7b212d8ef,Esso Tankstelle,ESSO,WESTMARKSTR. 7,OBERHAUSEN,51.494214,6.828572,Oberhausen
f0413398-5783-47db-866f-d97f00775c95,PM Express Oberhausen Max-Eyth-Str. 3-7,PM Express,Max-Eyth-Str.,Oberhausen,51.49773,6.840377,Oberhausen
bf6a0538-c23c-48d5-9d02-a151a732d750,PM Oberhausen Essener Str. 345,PM,Essener Str.,Oberhausen,51.481473,6.894112,Essen
7234f173-2ab9-4201-928f-4244b14649c0,TotalEnergies Muelheim,TotalEnergies,Mellinghofer Str.,Muelheim,51.445336,6.884433,Essen
d807e009-1268-4195-a99f-3bcd23ce91f7,Harrald Kaminski,Freie Tankstelle,Unterstr 36,essen,51.48295,6.90373,Essen
29f08a8c-9b36-4b8d-99bd-8b0289298314,Elan Duisburg-Neumuehl,ELAN,K.-Adenauer-Ring,Duisburg-Neumuehl,51.495094,6.81062,Oberhausen
51d4b55a-a095-1aa0-e100-80009459e03a,JET DUISBURG EMMERICHER STR. 73,JET,EMMERICHER STR.,DUISBURG,51.47143,6.79325,Oberhausen
5095976b-494a-4ed1-b7ab-8939391865ba,West-Tank Essen Frintroper Str. 462,West-Tank,Frintroper Str.,Essen,51.4764,6.91089,Essen
a16d5bfa-0800-c8e6-b21e-268dcd70178c,Tramin Tankcenter Hafen,Tramin,Rhein/Ecke Elbestr,Mülheim,51.431481,6.859273,Essen
51d4b441-a095-1aa0-e100-80009459e03a,JET MUELHEIM AKTIENSTR. 81,JET,AKTIENSTR.,MUELHEIM,51.43647,6.88509,Essen
d6a30fc8-18f7-4e6e-9a74-f0737d89fc52,Shell Duisburg Duisburger Str. 26,Shell,Duisburger Str.,Duisburg,51.486314,6.793173,Oberhausen
1a47513e-f1a5-4540-b99e-cb0cf47a9214,OIL! Tankstelle Essen,OIL!,Oberhauser Straße 2,Essen,51.4736,6.91564,Essen
77ba82e8-c8a1-4095-9373-af4b6167fdf1,Aral Tankstelle,ARAL,Vestische Straße,Oberhausen,51.5095,6.865255,Essen
c6655b86-3212-43c1-8339-1d97ecddf475,Shell Mülheim Duisburger Str. 466,Shell,Duisburger Str.,Mülheim,51.432903,6.822075,Oberhausen
25e0bbe5-1c76-493c-a7f0-58482fd3600f,Kraft GmbH,Freie Tankstelle,Aktienstr.,Mülheim a.d. Ruhr,51.445701,6.905216,Essen
3fd39e6d-e1f4-4151-84ef-c5c819a8a49e,Aral Tankstelle,ARAL,Bottroper Straße,Oberhausen,51.502728,6.892161,Essen
032cd239-66cc-4bb6-a028-509ba9e08889,Automatentankstelle,Markant (Tankautomat),Bruchstr.,Mülheim,51.43562,6.89037,Essen
45d03bfa-7537-4b68-9cb6-96e7f1e937f6,Aral Tankstelle,ARAL,Aktienstraße,Mülheim,51.44446,6.905406,Essen
1b63e09f-1978-49fd-ecc7-4002923f4a47,Tramin Tankcenter Osterfeld,Tramin,Bottroper Str.,Oberhausen,51.5031,6.89427,Essen
57b1b6a5-2250-4121-89be-e7042ebc736a,Aral Tankstelle,ARAL,Duisburger Straße,Duisburg,51.489326,6.784194,Oberhausen
